what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644144609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644144671
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266644144671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266644154562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644160046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644160109
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266644160125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266644163031
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266644168578
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266644168578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644182171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644269062
executed,command,org.tigris.subversion.subclipse.ui,1.6.7,"org.tigris.subversion.subclipse.ui.commit",1266644269125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644269390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644270609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644286750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644287921
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644288109
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1266644288656
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1266644288718
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1266644288750
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1266644288781
