what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642897546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642897609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642928984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642929015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642933406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642933484
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642933500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642955828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642955906
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642955906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642976328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642976406
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642976406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266643009140
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643027140
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643027359
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643027484
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643030031
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643030312
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643030375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266643036281
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643037984
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643037984
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643039000
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643039000
