what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643590484
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643599609
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643599609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643605265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643613890
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643614000
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643614046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643643953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643644062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643648000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643648093
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643648093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643672968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643673000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643674515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643674546
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643674562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643699125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643699187
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643699203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643718750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643718812
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643718812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266643737750
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643740437
