what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266642542281
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642544312
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642544312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266642546484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642556218
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1266642563875
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1266642564000
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1266642564000
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1266642564250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642565390
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1266642565421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642575656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642588562
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642588671
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642588750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642595218
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642599859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642627828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642627890
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642627906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642632343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642632359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642696718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642696781
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642696796
