what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1266854544015
processors,sysinfo,,,"2",1266854544015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266854544015
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1266854544015
java.specification.name,sysinfo,,,"Java Platform API Specification",1266854544015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266854544015
java.specification.version,sysinfo,,,"1.6",1266854544015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266854544015
java.version,sysinfo,,,"1.6.0_16",1266854544015
java.vm.info,sysinfo,,,"mixed mode",1266854544015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266854544015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266854544015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266854544015
java.vm.specification.version,sysinfo,,,"1.0",1266854544015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266854544015
java.vm.version,sysinfo,,,"14.2-b01",1266854544015
started,bundle,org.eclipse.dltk.core,1.0.1.v20090910-1601,"org.eclipse.dltk.core",1266854544609
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1266854544953
started,bundle,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui",1266854545140
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1266854545140
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1266854545437
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1266854545625
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1266854546015
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1266854546203
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1266854547171
