what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643185812
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643185812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266643187546
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643195343
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643195343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643209796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643220109
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643220234
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643220296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643243203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643243265
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643243281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643247531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643247562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643274390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643274484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643277250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643277328
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643277328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643320921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643321000
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643321000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643323000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643323078
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643323078
