what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1266503479062
arch,sysinfo,,,"x86",1266503479062
ws,sysinfo,,,"win32",1266503479062
locale,sysinfo,,,"en_US",1266503479062
processors,sysinfo,,,"2",1266503479062
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266503479062
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1266503479062
java.specification.name,sysinfo,,,"Java Platform API Specification",1266503479062
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266503479062
java.specification.version,sysinfo,,,"1.6",1266503479062
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266503479062
java.version,sysinfo,,,"1.6.0_16",1266503479062
java.vm.info,sysinfo,,,"mixed mode",1266503479062
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266503479062
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266503479062
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266503479062
java.vm.specification.version,sysinfo,,,"1.0",1266503479062
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266503479062
java.vm.version,sysinfo,,,"14.2-b01",1266503479062
started,bundle,org.eclipse.jst.jsf.common,1.1.7.v20090903,"org.eclipse.jst.jsf.common",1266503479234
started,bundle,org.eclipse.jst.jsf.core,1.2.2.v20090903,"org.eclipse.jst.jsf.core",1266503479343
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266503479375
started,bundle,org.eclipse.dltk.core,1.0.1.v20090910-1601,"org.eclipse.dltk.core",1266503479593
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266503479734
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1266503479734
