what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1266330656421
processors,sysinfo,,,"2",1266330656421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266330656421
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1266330656421
java.specification.name,sysinfo,,,"Java Platform API Specification",1266330656421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266330656421
java.specification.version,sysinfo,,,"1.6",1266330656421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266330656421
java.version,sysinfo,,,"1.6.0_16",1266330656421
java.vm.info,sysinfo,,,"mixed mode",1266330656421
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266330656421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266330656421
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266330656421
java.vm.specification.version,sysinfo,,,"1.0",1266330656421
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266330656421
java.vm.version,sysinfo,,,"14.2-b01",1266330656421
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1266330656453
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1266330656546
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1266330656750
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1266330656812
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1266330657046
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1266330657046
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266330657078
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266330657281
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1266330657296
