what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640179328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640179406
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266640179406
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1266640192312
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1266640846796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640975843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640978109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641020640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641020734
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266641020734
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1266641023250
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266641059453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641061171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641080781
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266641082796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641089656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641099703
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266641099812
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266641099875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641102000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641106515
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641114265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641118718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641124734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266641125859
