what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266639720546
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1266639720546
java.specification.name,sysinfo,,,"Java Platform API Specification",1266639720546
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266639720546
java.specification.version,sysinfo,,,"1.6",1266639720546
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266639720546
java.version,sysinfo,,,"1.6.0_16",1266639720546
java.vm.info,sysinfo,,,"mixed mode",1266639720546
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266639720546
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266639720546
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266639720546
java.vm.specification.version,sysinfo,,,"1.0",1266639720546
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266639720546
java.vm.version,sysinfo,,,"14.2-b01",1266639720546
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1266639720593
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266639720687
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266639720828
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1266639720843
started,bundle,org.eclipse.dltk.core,1.0.1.v20090910-1601,"org.eclipse.dltk.core",1266639720875
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1266639720984
started,bundle,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui",1266639721046
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1266639721046
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1266639721531
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1266639721828
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1266639722453
