what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642789968
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642794437
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642794437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266642796796
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642796796
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642798078
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642798140
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266642802625
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642802625
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1266642810875
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1266642810906
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1266642812796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642834953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642836078
started,bundle,org.eclipse.jpt.ui,2.2.1.v200909020220,"org.eclipse.jpt.ui",1266642845250
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1266642845265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642845562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642847281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642858203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642868781
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642868921
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266642868984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642894062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642894125
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642894140
