what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266644000750
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266644002078
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266644005984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644034625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644034640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644034703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644036687
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266644040718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644061046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644071546
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1266644071562
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266644073671
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1266644088125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644090203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644090390
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1266644094734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644096953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644097015
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266644097031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644124671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644124687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644126656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266644126703
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266644126703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266644137125
