what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643740437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643755187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643765468
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643765593
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643765656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643791625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643791703
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643791718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643795796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643795843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643833296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643833312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643836859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643836890
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643836890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643860906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643860968
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643860984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643880718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643880781
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266643880796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266643882328
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266643887531
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266643887531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266643895343
