what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640018859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640024453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640026609
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1266640030437
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1266640030468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640037734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640039359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640046140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640047093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640063390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640063484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640068984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640076062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640095093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640097796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640106187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640106234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640140546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640147078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640172765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640172859
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266640172875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640175343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266640175421
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266640175421
