what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642121953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642130546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642132078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642151046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642151125
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642151125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642157343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642159015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642172375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642174359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642189859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642189937
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642189937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642195718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642198828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642229937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642230015
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642230015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642233796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642235859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642240578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642243171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642258703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266642258781
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1266642258796
